Released;Movie;Weekend;US Gross;Worldwide Gross;Budget;Type
03/12/2003;Bend it Like Beckham;161528;32543449;76583333;5000000;Original
11/15/1974;Benji;NULL;31559560;NULL;500000;Original
11/16/2007;Beowulf;27515871;82195215;194995215;150000000;Adapted
09/27/2000;Best in Show;413436;18621249;20695413;6000000;Original
04/11/2003;Better Luck Tomorrow;360772;3802390;3809226;250000;Original
09/13/2002;Betty Fisher et autres histoires;23929;206400;NULL;7500000;Adapted
10/03/2008;Beverly Hills Chihuahua;29300465;94514402;145214402;20000000;Original
12/05/1984;Beverly Hills Cop;15214805;234760478;316300000;15000000;Original
05/20/1987;Beverly Hills Cop II;26348555;153665036;276665036;20000000;Original
05/25/1994;Beverly Hills Cop III;15276224;42586861;119180938;50000000;Original
06/24/2005;Bewitched;20131130;63313159;131159306;80000000;TV
10/24/2003;Beyond Borders;2076402;4426297;11427090;60000000;Original
10/22/1999;Beyond the Mat;9532;2047570;NULL;500000;Real Events
12/17/2004;Beyond the Sea;45264;6144806;7061637;24000000;Real Events
01/01/1970;Beyond the Valley of the Dolls;NULL;9000000;NULL;1000000;Original
12/17/1999;Bicentennial Man;8234926;58220776;87420776;90000000;Adapted
07/25/2008;Bienvenue chez les Ch'tis;NULL;1477650;247474497;16000000;Original
06/03/1988;Big;8216190;114968774;151668774;18000000;Original
06/25/1999;Big Daddy;41536370;163479795;228641283;30000000;Original
02/08/2002;Big Fat Liar;11554015;47811275;52375275;15000000;Original
12/10/2003;Big Fish;207377;66432867;123432867;70000000;Adapted
06/02/2000;Big Momma's House;25661041;117559438;173559438;33000000;Original
01/27/2006;Big Momma's House 2;27736056;70165972;137047376;40000000;Original
04/05/2002;Big Trouble;3545204;7262288;8488871;45000000;Adapted
07/19/1991;Bill & Ted's Bogus Journey;10241268;37537675;NULL;20000000;Original
02/17/1989;Bill & Ted's Excellent Adventure;6167651;40485039;NULL;10000000;Original
10/13/2000;Billy Elliot;215681;21995263;109280263;5000000;Original
10/29/2004;Birth;1705577;5005899;14603001;20000000;Original
02/01/2002;Birthday Girl;2370809;4919896;8130727;13000000;Original
12/29/2010;Biutiful;460916;5101237;25101237;35000000;Original
